vg,vd,ig,id
4.999939,0.05000288,4.999981,0.05000507
4.499926,0.05000715,4.499906,0.05000845
3.999846,0.05000866,3.999938,0.05000694
3.49989,0.05000705,3.499873,0.05000539
2.999877,0.05000865,2.999832,0.05000114
2.499851,0.05000812,2.499815,0.05000452
1.999806,0.05000871,1.999796,0.05000724
1.49976,0.05000531,1.499771,0.05000268
0.9997336,0.05000493,0.9997455,0.05000679
0.4997506,0.05000558,0.4997494,0.05000493
