VG,ID,IG,VD
-5.00E+00,7.38E-07,-1.57E-06,5.00E-02
-4.99E+00,6.85E-07,-1.50E-06,5.00E-02
-4.98E+00,6.59E-07,-1.45E-06,5.00E-02
-4.97E+00,6.40E-07,-1.41E-06,5.00E-02
-4.96E+00,6.23E-07,-1.37E-06,5.00E-02
-4.95E+00,6.08E-07,-1.34E-06,5.00E-02
-4.94E+00,5.95E-07,-1.31E-06,5.00E-02
-4.93E+00,5.83E-07,-1.29E-06,5.00E-02
-4.92E+00,5.72E-07,-1.26E-06,5.00E-02
-4.91E+00,5.61E-07,-1.24E-06,5.00E-02
-4.90E+00,5.52E-07,-1.22E-06,5.00E-02
-4.89E+00,5.42E-07,-1.20E-06,5.00E-02
-4.88E+00,5.33E-07,-1.18E-06,5.00E-02
-4.87E+00,5.24E-07,-1.16E-06,5.00E-02
-4.86E+00,5.16E-07,-1.14E-06,5.00E-02
-4.85E+00,5.07E-07,-1.12E-06,5.00E-02
-4.84E+00,4.99E-07,-1.10E-06,5.00E-02
-4.83E+00,4.91E-07,-1.08E-06,5.00E-02
-4.82E+00,4.84E-07,-1.07E-06,5.00E-02
-4.81E+00,4.77E-07,-1.05E-06,5.00E-02
-4.80E+00,4.69E-07,-1.03E-06,5.00E-02
-4.79E+00,4.62E-07,-1.02E-06,5.00E-02
-4.78E+00,4.55E-07,-1.00E-06,5.00E-02
-4.77E+00,4.47E-07,-9.86E-07,5.00E-02
-4.76E+00,4.41E-07,-9.71E-07,5.00E-02
-4.75E+00,4.34E-07,-9.56E-07,5.00E-02
-4.74E+00,4.27E-07,-9.41E-07,5.00E-02
-4.73E+00,4.21E-07,-9.26E-07,5.00E-02
-4.72E+00,4.14E-07,-9.12E-07,5.00E-02
-4.71E+00,4.08E-07,-8.98E-07,5.00E-02
-4.70E+00,4.02E-07,-8.85E-07,5.00E-02
-4.69E+00,3.96E-07,-8.71E-07,5.00E-02
-4.68E+00,3.90E-07,-8.58E-07,5.00E-02
-4.67E+00,3.84E-07,-8.44E-07,5.00E-02
-4.66E+00,3.78E-07,-8.32E-07,5.00E-02
-4.65E+00,3.73E-07,-8.18E-07,5.00E-02
-4.64E+00,3.67E-07,-8.05E-07,5.00E-02
-4.63E+00,3.61E-07,-7.93E-07,5.00E-02
-4.62E+00,3.56E-07,-7.79E-07,5.00E-02
-4.61E+00,3.50E-07,-7.67E-07,5.00E-02
-4.60E+00,3.44E-07,-7.55E-07,5.00E-02
-4.59E+00,3.39E-07,-7.43E-07,5.00E-02
-4.58E+00,3.33E-07,-7.30E-07,5.00E-02
-4.57E+00,3.28E-07,-7.19E-07,5.00E-02
-4.56E+00,3.23E-07,-7.07E-07,5.00E-02
-4.55E+00,3.18E-07,-6.96E-07,5.00E-02
-4.54E+00,3.13E-07,-6.85E-07,5.00E-02
-4.53E+00,3.08E-07,-6.74E-07,5.00E-02
-4.52E+00,3.03E-07,-6.62E-07,5.00E-02
