VG,ID,IG,VD
-5.00E+00,1.13E-06,-2.44E-06,5.00E-02
-4.99E+00,1.07E-06,-2.34E-06,5.00E-02
-4.98E+00,1.03E-06,-2.27E-06,5.00E-02
-4.97E+00,1.00E-06,-2.21E-06,5.00E-02
-4.96E+00,9.76E-07,-2.16E-06,5.00E-02
-4.95E+00,9.54E-07,-2.11E-06,5.00E-02
-4.94E+00,9.34E-07,-2.06E-06,5.00E-02
-4.93E+00,9.16E-07,-2.02E-06,5.00E-02
-4.92E+00,8.98E-07,-1.98E-06,5.00E-02
-4.91E+00,8.81E-07,-1.95E-06,5.00E-02
-4.90E+00,8.64E-07,-1.91E-06,5.00E-02
-4.89E+00,8.49E-07,-1.88E-06,5.00E-02
-4.88E+00,8.34E-07,-1.85E-06,5.00E-02
-4.87E+00,8.20E-07,-1.81E-06,5.00E-02
-4.86E+00,8.06E-07,-1.78E-06,5.00E-02
-4.85E+00,7.93E-07,-1.75E-06,5.00E-02
-4.84E+00,7.80E-07,-1.72E-06,5.00E-02
-4.83E+00,7.67E-07,-1.70E-06,5.00E-02
-4.82E+00,7.55E-07,-1.67E-06,5.00E-02
-4.81E+00,7.43E-07,-1.64E-06,5.00E-02
-4.80E+00,7.32E-07,-1.61E-06,5.00E-02
-4.79E+00,7.20E-07,-1.59E-06,5.00E-02
-4.78E+00,7.08E-07,-1.56E-06,5.00E-02
-4.77E+00,6.98E-07,-1.54E-06,5.00E-02
-4.76E+00,6.86E-07,-1.51E-06,5.00E-02
-4.75E+00,6.76E-07,-1.49E-06,5.00E-02
-4.74E+00,6.65E-07,-1.47E-06,5.00E-02
-4.73E+00,6.55E-07,-1.44E-06,5.00E-02
-4.72E+00,6.45E-07,-1.42E-06,5.00E-02
-4.71E+00,6.35E-07,-1.40E-06,5.00E-02
-4.70E+00,6.27E-07,-1.38E-06,5.00E-02
-4.69E+00,6.17E-07,-1.36E-06,5.00E-02
-4.68E+00,6.07E-07,-1.34E-06,5.00E-02
-4.67E+00,5.97E-07,-1.31E-06,5.00E-02
-4.66E+00,5.88E-07,-1.29E-06,5.00E-02
-4.65E+00,5.79E-07,-1.27E-06,5.00E-02
-4.64E+00,5.70E-07,-1.25E-06,5.00E-02
-4.63E+00,5.62E-07,-1.23E-06,5.00E-02
-4.62E+00,5.53E-07,-1.21E-06,5.00E-02
-4.61E+00,5.44E-07,-1.19E-06,5.00E-02
-4.60E+00,5.36E-07,-1.18E-06,5.00E-02
-4.59E+00,5.27E-07,-1.16E-06,5.00E-02
-4.58E+00,5.19E-07,-1.14E-06,5.00E-02
-4.57E+00,5.11E-07,-1.12E-06,5.00E-02
-4.56E+00,5.03E-07,-1.10E-06,5.00E-02
-4.55E+00,4.94E-07,-1.08E-06,5.00E-02
-4.54E+00,4.87E-07,-1.06E-06,5.00E-02
-4.53E+00,4.79E-07,-1.05E-06,5.00E-02
-4.52E+00,4.71E-07,-1.03E-06,5.00E-02
-4.51E+00,4.64E-07,-1.01E-06,5.00E-02
-4.50E+00,4.56E-07,-9.98E-07,5.00E-02
-4.49E+00,4.49E-07,-9.80E-07,5.00E-02
-4.48E+00,4.42E-07,-9.64E-07,5.00E-02
-4.47E+00,4.34E-07,-9.48E-07,5.00E-02
-4.46E+00,4.28E-07,-9.34E-07,5.00E-02
-4.45E+00,4.21E-07,-9.18E-07,5.00E-02
-4.44E+00,4.14E-07,-9.02E-07,5.00E-02
-4.43E+00,4.07E-07,-8.87E-07,5.00E-02
-4.42E+00,4.01E-07,-8.71E-07,5.00E-02
-4.41E+00,3.94E-07,-8.56E-07,5.00E-02
-4.40E+00,3.87E-07,-8.42E-07,5.00E-02
-4.39E+00,3.81E-07,-8.27E-07,5.00E-02
-4.38E+00,3.74E-07,-8.13E-07,5.00E-02
-4.37E+00,3.68E-07,-7.98E-07,5.00E-02
-4.36E+00,3.62E-07,-7.84E-07,5.00E-02
-4.35E+00,3.55E-07,-7.71E-07,5.00E-02
-4.34E+00,3.49E-07,-7.57E-07,5.00E-02
-4.33E+00,3.43E-07,-7.43E-07,5.00E-02
-4.32E+00,3.37E-07,-7.30E-07,5.00E-02
-4.31E+00,3.32E-07,-7.17E-07,5.00E-02
-4.30E+00,3.26E-07,-7.04E-07,5.00E-02
-4.29E+00,3.20E-07,-6.92E-07,5.00E-02
-4.28E+00,3.14E-07,-6.79E-07,5.00E-02
-4.27E+00,3.08E-07,-6.66E-07,5.00E-02
-4.26E+00,3.03E-07,-6.54E-07,5.00E-02
-4.25E+00,2.98E-07,-6.42E-07,5.00E-02
-4.24E+00,2.92E-07,-6.30E-07,5.00E-02
-4.23E+00,2.87E-07,-6.18E-07,5.00E-02
-4.22E+00,2.82E-07,-6.07E-07,5.00E-02
-4.21E+00,2.77E-07,-5.96E-07,5.00E-02
-4.20E+00,2.72E-07,-5.84E-07,5.00E-02
-4.19E+00,2.67E-07,-5.73E-07,5.00E-02
-4.18E+00,2.62E-07,-5.62E-07,5.00E-02
-4.17E+00,2.57E-07,-5.51E-07,5.00E-02
-4.16E+00,2.52E-07,-5.40E-07,5.00E-02
-4.15E+00,2.47E-07,-5.29E-07,5.00E-02
-4.14E+00,2.42E-07,-5.19E-07,5.00E-02
-4.13E+00,2.38E-07,-5.08E-07,5.00E-02
-4.12E+00,2.33E-07,-4.98E-07,5.00E-02
-4.11E+00,2.28E-07,-4.88E-07,5.00E-02
-4.10E+00,2.24E-07,-4.78E-07,5.00E-02
-4.09E+00,2.20E-07,-4.68E-07,5.00E-02
-4.08E+00,2.15E-07,-4.59E-07,5.00E-02
-4.07E+00,2.11E-07,-4.49E-07,5.00E-02
-4.06E+00,2.06E-07,-4.40E-07,5.00E-02
-4.05E+00,2.02E-07,-4.30E-07,5.00E-02
-4.04E+00,1.98E-07,-4.22E-07,5.00E-02
-4.03E+00,1.94E-07,-4.13E-07,5.00E-02
-4.02E+00,1.90E-07,-4.04E-07,5.00E-02
-4.01E+00,1.86E-07,-3.95E-07,5.00E-02
-4.00E+00,1.82E-07,-3.87E-07,5.00E-02
-3.99E+00,1.79E-07,-3.79E-07,5.00E-02
-3.98E+00,1.75E-07,-3.71E-07,5.00E-02
-3.97E+00,1.71E-07,-3.63E-07,5.00E-02
-3.96E+00,1.68E-07,-3.54E-07,5.00E-02
-3.95E+00,1.64E-07,-3.47E-07,5.00E-02
-3.94E+00,1.60E-07,-3.39E-07,5.00E-02
-3.93E+00,1.57E-07,-3.32E-07,5.00E-02
-3.92E+00,1.53E-07,-3.24E-07,5.00E-02
-3.91E+00,1.50E-07,-3.17E-07,5.00E-02
-3.90E+00,1.46E-07,-3.09E-07,5.00E-02
-3.89E+00,1.43E-07,-3.02E-07,5.00E-02
-3.88E+00,1.40E-07,-2.95E-07,5.00E-02
-3.87E+00,1.37E-07,-2.88E-07,5.00E-02
-3.86E+00,1.33E-07,-2.81E-07,5.00E-02
-3.85E+00,1.30E-07,-2.74E-07,5.00E-02
-3.84E+00,1.28E-07,-2.68E-07,5.00E-02
-3.83E+00,1.25E-07,-2.61E-07,5.00E-02
-3.82E+00,1.22E-07,-2.55E-07,5.00E-02
-3.81E+00,1.19E-07,-2.49E-07,5.00E-02
-3.80E+00,1.16E-07,-2.43E-07,5.00E-02
-3.79E+00,1.13E-07,-2.37E-07,5.00E-02
-3.78E+00,1.10E-07,-2.30E-07,5.00E-02
-3.77E+00,1.08E-07,-2.24E-07,5.00E-02
-3.76E+00,1.05E-07,-2.19E-07,5.00E-02
-3.75E+00,1.03E-07,-2.14E-07,5.00E-02
-3.74E+00,1.00E-07,-2.08E-07,5.00E-02
-3.73E+00,9.75E-08,-2.03E-07,5.00E-02
-3.72E+00,9.50E-08,-1.98E-07,5.00E-02
-3.71E+00,9.27E-08,-1.92E-07,5.00E-02
-3.70E+00,9.03E-08,-1.87E-07,5.00E-02
-3.69E+00,8.79E-08,-1.82E-07,5.00E-02
-3.68E+00,8.57E-08,-1.77E-07,5.00E-02
-3.67E+00,8.34E-08,-1.73E-07,5.00E-02
-3.66E+00,8.11E-08,-1.68E-07,5.00E-02
