VG,ID,IG,VD
-5.00E+00,1.72E-07,-3.68E-07,5.00E-02
-4.99E+00,1.65E-07,-3.58E-07,5.00E-02
-4.98E+00,1.61E-07,-3.49E-07,5.00E-02
-4.97E+00,1.57E-07,-3.41E-07,5.00E-02
-4.96E+00,1.53E-07,-3.33E-07,5.00E-02
-4.95E+00,1.50E-07,-3.26E-07,5.00E-02
-4.94E+00,1.47E-07,-3.20E-07,5.00E-02
-4.93E+00,1.44E-07,-3.14E-07,5.00E-02
-4.92E+00,1.41E-07,-3.07E-07,5.00E-02
-4.91E+00,1.39E-07,-3.02E-07,5.00E-02
-4.90E+00,1.36E-07,-2.96E-07,5.00E-02
-4.89E+00,1.34E-07,-2.90E-07,5.00E-02
-4.88E+00,1.31E-07,-2.85E-07,5.00E-02
-4.87E+00,1.29E-07,-2.80E-07,5.00E-02
-4.86E+00,1.26E-07,-2.74E-07,5.00E-02
-4.85E+00,1.24E-07,-2.69E-07,5.00E-02
-4.84E+00,1.22E-07,-2.64E-07,5.00E-02
-4.83E+00,1.20E-07,-2.60E-07,5.00E-02
-4.82E+00,1.17E-07,-2.55E-07,5.00E-02
-4.81E+00,1.15E-07,-2.50E-07,5.00E-02
-4.80E+00,1.13E-07,-2.46E-07,5.00E-02
-4.79E+00,1.11E-07,-2.41E-07,5.00E-02
-4.78E+00,1.09E-07,-2.37E-07,5.00E-02
-4.77E+00,1.07E-07,-2.33E-07,5.00E-02
-4.76E+00,1.05E-07,-2.28E-07,5.00E-02
-4.75E+00,1.03E-07,-2.24E-07,5.00E-02
-4.74E+00,1.01E-07,-2.20E-07,5.00E-02
-4.73E+00,9.98E-08,-2.16E-07,5.00E-02
-4.72E+00,9.79E-08,-2.12E-07,5.00E-02
-4.71E+00,9.61E-08,-2.08E-07,5.00E-02
-4.70E+00,9.46E-08,-2.05E-07,5.00E-02
-4.69E+00,9.28E-08,-2.01E-07,5.00E-02
-4.68E+00,9.12E-08,-1.97E-07,5.00E-02
-4.67E+00,8.96E-08,-1.94E-07,5.00E-02
-4.66E+00,8.79E-08,-1.90E-07,5.00E-02
-4.65E+00,8.64E-08,-1.86E-07,5.00E-02
