VG,ID,IG,VD
-5.00E+00,3.01E-07,-6.41E-07,5.00E-02
-4.99E+00,2.85E-07,-6.20E-07,5.00E-02
-4.98E+00,2.76E-07,-6.02E-07,5.00E-02
-4.97E+00,2.69E-07,-5.87E-07,5.00E-02
-4.96E+00,2.62E-07,-5.72E-07,5.00E-02
-4.95E+00,2.56E-07,-5.59E-07,5.00E-02
-4.94E+00,2.50E-07,-5.47E-07,5.00E-02
-4.93E+00,2.45E-07,-5.36E-07,5.00E-02
-4.92E+00,2.39E-07,-5.24E-07,5.00E-02
-4.91E+00,2.35E-07,-5.13E-07,5.00E-02
-4.90E+00,2.30E-07,-5.03E-07,5.00E-02
-4.89E+00,2.25E-07,-4.93E-07,5.00E-02
-4.88E+00,2.21E-07,-4.83E-07,5.00E-02
-4.87E+00,2.17E-07,-4.74E-07,5.00E-02
-4.86E+00,2.13E-07,-4.65E-07,5.00E-02
-4.85E+00,2.09E-07,-4.56E-07,5.00E-02
-4.84E+00,2.05E-07,-4.48E-07,5.00E-02
-4.83E+00,2.01E-07,-4.39E-07,5.00E-02
-4.82E+00,1.97E-07,-4.31E-07,5.00E-02
-4.81E+00,1.93E-07,-4.23E-07,5.00E-02
-4.80E+00,1.90E-07,-4.15E-07,5.00E-02
-4.79E+00,1.87E-07,-4.08E-07,5.00E-02
-4.78E+00,1.83E-07,-4.00E-07,5.00E-02
-4.77E+00,1.80E-07,-3.93E-07,5.00E-02
-4.76E+00,1.77E-07,-3.86E-07,5.00E-02
-4.75E+00,1.73E-07,-3.79E-07,5.00E-02
-4.74E+00,1.70E-07,-3.72E-07,5.00E-02
-4.73E+00,1.67E-07,-3.65E-07,5.00E-02
-4.72E+00,1.64E-07,-3.59E-07,5.00E-02
-4.71E+00,1.61E-07,-3.52E-07,5.00E-02
-4.70E+00,1.59E-07,-3.46E-07,5.00E-02
-4.69E+00,1.56E-07,-3.40E-07,5.00E-02
-4.68E+00,1.53E-07,-3.33E-07,5.00E-02
-4.67E+00,1.50E-07,-3.28E-07,5.00E-02
-4.66E+00,1.48E-07,-3.21E-07,5.00E-02
-4.65E+00,1.45E-07,-3.15E-07,5.00E-02
-4.64E+00,1.42E-07,-3.10E-07,5.00E-02
-4.63E+00,1.40E-07,-3.04E-07,5.00E-02
-4.62E+00,1.37E-07,-2.98E-07,5.00E-02
-4.61E+00,1.35E-07,-2.93E-07,5.00E-02
-4.60E+00,1.32E-07,-2.88E-07,5.00E-02
-4.59E+00,1.30E-07,-2.82E-07,5.00E-02
-4.58E+00,1.27E-07,-2.77E-07,5.00E-02
-4.57E+00,1.25E-07,-2.71E-07,5.00E-02
-4.56E+00,1.23E-07,-2.66E-07,5.00E-02
-4.55E+00,1.20E-07,-2.61E-07,5.00E-02
-4.54E+00,1.18E-07,-2.57E-07,5.00E-02
-4.53E+00,1.16E-07,-2.52E-07,5.00E-02
-4.52E+00,1.14E-07,-2.47E-07,5.00E-02
-4.51E+00,1.12E-07,-2.42E-07,5.00E-02
-4.50E+00,1.10E-07,-2.38E-07,5.00E-02
-4.49E+00,1.08E-07,-2.33E-07,5.00E-02
-4.48E+00,1.06E-07,-2.29E-07,5.00E-02
-4.47E+00,1.04E-07,-2.24E-07,5.00E-02
-4.46E+00,1.02E-07,-2.20E-07,5.00E-02
-4.45E+00,9.98E-08,-2.16E-07,5.00E-02
-4.44E+00,9.78E-08,-2.12E-07,5.00E-02
-4.43E+00,9.59E-08,-2.08E-07,5.00E-02
-4.42E+00,9.42E-08,-2.04E-07,5.00E-02
-4.41E+00,9.23E-08,-1.99E-07,5.00E-02
-4.40E+00,9.05E-08,-1.96E-07,5.00E-02
-4.39E+00,8.88E-08,-1.92E-07,5.00E-02
-4.38E+00,8.70E-08,-1.88E-07,5.00E-02
-4.37E+00,8.53E-08,-1.84E-07,5.00E-02
-4.36E+00,8.36E-08,-1.81E-07,5.00E-02
-4.35E+00,8.20E-08,-1.77E-07,5.00E-02
-4.34E+00,8.04E-08,-1.73E-07,5.00E-02
-4.33E+00,7.87E-08,-1.70E-07,5.00E-02
-4.32E+00,7.71E-08,-1.66E-07,5.00E-02
-4.31E+00,7.55E-08,-1.62E-07,5.00E-02
-4.30E+00,7.40E-08,-1.59E-07,5.00E-02
-4.29E+00,7.25E-08,-1.56E-07,5.00E-02
-4.28E+00,7.10E-08,-1.52E-07,5.00E-02
-4.27E+00,6.95E-08,-1.49E-07,5.00E-02
-4.26E+00,6.81E-08,-1.46E-07,5.00E-02
-4.25E+00,6.67E-08,-1.43E-07,5.00E-02
-4.24E+00,6.53E-08,-1.40E-07,5.00E-02
-4.23E+00,6.39E-08,-1.37E-07,5.00E-02
-4.22E+00,6.27E-08,-1.34E-07,5.00E-02
-4.21E+00,6.14E-08,-1.32E-07,5.00E-02
-4.20E+00,6.01E-08,-1.28E-07,5.00E-02
-4.19E+00,5.88E-08,-1.26E-07,5.00E-02
-4.18E+00,5.75E-08,-1.23E-07,5.00E-02
-4.17E+00,5.63E-08,-1.20E-07,5.00E-02
-4.16E+00,5.51E-08,-1.17E-07,5.00E-02
-4.15E+00,5.38E-08,-1.15E-07,5.00E-02
