vg,vd,ig,id
5.985028e-06,0.05001674,2.03032e-08,1.193019e-05
0.9999849,0.0500165,0.000453635,0.0002441563
2.000015,0.05000951,0.001002127,0.001282491
2.999942,0.05001775,0.001614396,0.003734984
3.999964,0.05001955,0.002260899,0.007809316
5.000113,0.05002366,0.002931241,0.01340461
6.000107,0.05002774,0.003621703,0.02018605
7.000203,0.05001755,0.004333443,0.02763632
8.00015,0.05001722,0.005053253,0.03535678
9.00019,0.05001699,0.005787662,0.04285048
10.00017,0.05002299,0.006566294,0.0498086
11.00024,0.05002082,0.007339708,0.05606725
11.9998,0.05001879,0.008015894,0.06156238
12.9998,0.05002705,0.008779613,0.06633773
13.99323,0.05002397,0.009644909,0.06834808
13.59874,0.05002307,0.009999362,0.06775034
13.43172,0.05002369,0.00999947,0.06666857
14.1601,0.05002292,0.009999654,0.07073739
13.4418,0.05002678,0.009999397,0.06792252
13.51145,0.05002036,0.009999454,0.06763798
13.47945,0.05002547,0.009999452,0.06746107
15.36716,0.05002581,0.009999456,0.07599308
13.97705,0.05002312,0.009999332,0.0693174
13.99207,0.05002644,0.009999305,0.06940226
14.07991,0.0500225,0.009999383,0.06963058
14.10398,0.05002534,0.00999938,0.0696536
14.14736,0.05001966,0.009999369,0.06968973
14.14654,0.05002744,0.009999334,0.06963092
14.11205,0.05002123,0.009999366,0.06946249
14.13364,0.05002318,0.009999364,0.06985862
14.25808,0.05002412,0.009999392,0.06985312
