vg,vd,ig,id
1.472159e-05,0.05001952,3.930617e-08,4.652316e-06
1.000006,0.05001553,0.0006051947,0.0001547414
1.999983,0.05003022,0.001255482,0.000979149
2.999981,0.05001454,0.00193475,0.003109349
4.000061,0.05001867,0.002631549,0.006870097
5.00013,0.05002363,0.00334039,0.01217904
6.000194,0.05002682,0.004057917,0.01874756
7.000202,0.05001473,0.004781139,0.02612536
8.000249,0.05002122,0.005507909,0.03388811
9.000281,0.05001867,0.006236773,0.0415777
10.00019,0.0500198,0.006966763,0.04882755
11.00023,0.05001828,0.007706047,0.05539866
11.99993,0.05002373,0.008440016,0.06123378
12.99994,0.05002482,0.009177946,0.06627859
13.99996,0.05002527,0.009901302,0.07061082
14.99986,0.05002281,0.01054864,0.07431135
15.99983,0.0500243,0.003191783,0.07676767
16.99975,0.05002544,0.003483573,0.07942752
17.99975,0.05002591,0.003786801,0.08169223
18.99992,0.05002606,0.004098129,0.08361028
19.99982,0.0500293,0.004423463,0.08529923
21.00009,0.05003203,0.004770706,0.0867006
22.00433,0.05002905,0.01710386,0.08843218
23.0126,0.0500277,0.0184143,0.08946683
24.01815,0.05002499,0.01920854,0.0903155
25.00879,0.05002782,0.01950493,0.0910584
26.01408,0.05002944,0.02082578,0.09170383
26.18188,0.05002673,0.02099966,0.09168834
27.10967,0.05002839,0.02099955,0.09153727
27.05913,0.05002753,0.02099968,0.0919414
27.05789,0.05002528,0.02099962,0.09182336
