v,i,output,time
0.600019,4.32684e-09,0.000445536263,0.0
0.6000375,6.344102e-09,0.000472810948,0.5
0.6000121,5.47237e-10,0.000447066034,1.0
0.6000298,-1.777337e-09,8.47343505e-05,1.5
0.6000195,4.565404e-09,0.000464303933,2.0
0.6000242,2.119942e-09,0.00034923536,2.5
0.6000168,-2.213565e-09,0.000428858036,3.0
0.6000141,5.103966e-09,0.000464191998,3.5
0.6000283,-4.487175e-10,0.000495757502,4.0
0.6000156,1.432388e-09,0.000491765174,4.5
0.6000073,-1.821656e-09,0.000494973961,5.0
0.6000097,2.487603e-09,0.000520308449,5.5
0.6000236,3.490633e-09,0.000468743998,6.0
0.6000289,1.949464e-09,0.000608065026,6.5
0.6000197,-8.956992e-10,0.000502622812,7.0
0.6000072,3.82378e-09,0.000553403723,7.5
0.6000282,5.008356e-09,0.000552732116,8.0
0.6000239,5.89373e-09,0.000513032712,8.5
0.6000075,-1.729911e-09,0.000477847996,9.0
0.6000248,4.688465e-09,0.000416806432,9.5
