vg,vd,ig,id
-26.30076,0.05005049,-0.02100087,2.315319e-05
-25.88364,0.05001529,-0.02100098,1.204072e-05
-24.06177,0.05002482,-0.01952963,8.21063e-06
-21.00088,0.0500204,-0.01702685,4.726471e-06
-18.00095,0.05001383,-0.01455655,3.024831e-06
-15.00117,0.05002175,-0.0120755,2.167334e-06
-12.00135,0.05001399,-0.009594228,1.571347e-06
-9.001138,0.05001505,-0.007122987,1.100687e-06
-6.001107,0.05002505,-0.004674444,7.187435e-07
-3.001065,0.05002157,-0.002266343,3.840335e-07
-0.0001032422,0.05002297,-1.717448e-08,5.273734e-06
3.000006,0.05001914,0.002257156,0.004008481
6.000156,0.05001457,0.004620644,0.02555363
9.000266,0.05002285,0.007028182,0.05131235
11.99992,0.05002363,0.009454622,0.06862336
15.00002,0.05002473,0.01189506,0.07906932
18.00007,0.05002882,0.01432498,0.08539467
21.00016,0.050031,0.01675913,0.08938614
24.01721,0.05002765,0.01821963,0.09200764
27.02106,0.05002864,0.0208971,0.09378099
27.88564,0.05003088,0.02099952,0.09401823
