v,i,output,time
1.499983,0.03641836,-1.276052e-05,0.0
1.49999,0.0365489,-1.32082577e-05,0.5
1.499994,0.03663066,-1.35813724e-05,1.0
1.499993,0.03670635,-1.36186838e-05,1.5
1.499998,0.03676358,-1.38798641e-05,2.0
1.499994,0.03681858,-1.38798641e-05,2.5
1.499994,0.0368751,-1.43649132e-05,3.0
1.499987,0.03692065,-1.48126509e-05,3.5
1.49999,0.03696451,-1.49992082e-05,4.0
1.499987,0.03701138,-1.50738312e-05,4.5
1.499999,0.03704375,-1.55215688e-05,5.0
1.500006,0.03708057,-1.57081261e-05,5.5
1.499996,0.03711442,-1.62677982e-05,6.0
1.500003,0.03714669,-1.63051097e-05,6.5
1.500005,0.03717907,-1.65289785e-05,7.0
1.499999,0.037207,-1.68647817e-05,7.5
1.500005,0.03723358,-1.70886505e-05,8.0
1.499997,0.03725585,-1.70140276e-05,8.5
1.499996,0.0372795,-1.73125193e-05,9.0
1.500009,0.03730014,-1.77229455e-05,9.5
