v,i,output,time
1.700002,-9.02869e-11,-0.000411209706,0.0
1.700007,1.037661e-10,-0.000415351279,0.1
1.700002,-1.46973e-11,-0.000416433312,0.2
1.699992,-1.965676e-10,-0.00041385882,0.30000000000000004
1.699994,9.571154e-11,-0.000415276656,0.4
1.700012,-1.994923e-10,-0.000415239345,0.5
1.699989,2.463434e-10,-0.000411097772,0.6000000000000001
1.699996,3.794055e-12,-0.000409829182,0.7000000000000001
1.699993,2.368071e-11,-0.000420276393,0.8
1.700014,2.145353e-10,-0.00040926951,0.9
1.700015,-1.375258e-11,-0.000415910951,1.0
1.700004,-1.373079e-10,-0.000416246754,1.1
1.700007,-9.883493e-12,-0.000416097508,1.2000000000000002
1.700003,-2.390894e-10,-0.000414978164,1.3
1.700005,-2.394488e-10,-0.000417030295,1.4000000000000001
1.699985,3.362356e-11,-0.000417067607,1.5
1.700008,4.037221e-11,-0.000416992984,1.6
1.699989,-1.202093e-10,-0.000426246228,1.7000000000000002
1.7,2.360401e-10,-0.000421880786,1.8
1.699989,7.470098e-11,-0.000412105181,1.9000000000000001
1.700007,1.200979e-10,-0.000414381181,2.0
1.700002,-1.631706e-11,-0.000415799017,2.1
1.700004,2.28257e-10,-0.000415500525,2.2
1.700009,-8.07028e-11,-0.000415799017,2.3000000000000003
1.699997,-2.354888e-10,-0.000416507935,2.4000000000000004
1.699994,-7.219854e-11,-0.000417478033,2.5
1.7,-8.520234e-11,-0.000418746623,2.6
1.700006,2.381551e-10,-0.000416769115,2.7
1.700008,2.447232e-10,-0.000417888459,2.8000000000000003
1.699991,-1.363627e-10,-0.000417366098,2.9000000000000004
1.699985,-9.735118e-11,-0.000415836328,3.0
1.699988,2.130494e-10,-0.000421843475,3.1
1.699984,-4.511176e-11,-0.000406881575,3.2
1.700007,2.313613e-10,-0.000415463213,3.3000000000000003
1.699987,1.753463e-10,-0.000418075016,3.4000000000000004
1.700005,-1.838672e-11,-0.000417067607,3.5
1.700009,-1.719093e-10,-0.000416806426,3.6
1.700004,5.134988e-11,-0.000415575148,3.7
1.699983,-2.029573e-10,-0.000414642361,3.8000000000000003
1.700007,1.666179e-10,-0.000415463213,3.9000000000000004
1.69999,2.188053e-11,-0.000416246754,4.0
1.699989,1.657144e-11,-0.000416843738,4.1000000000000005
1.69998,-2.126632e-11,-0.000418261574,4.2
1.699989,-4.801576e-13,-0.000416545246,4.3
1.700003,-2.029566e-10,-0.000415985574,4.4
1.7,-5.370518e-11,-0.000419082426,4.5
1.700004,3.438855e-11,-0.000416582558,4.6000000000000005
1.699987,8.342907e-11,-0.000417030295,4.7
1.699986,2.000924e-10,-0.000414791607,4.800000000000001
1.700003,4.982011e-11,-0.000416881049,4.9
