vg,vd,ig,id
1.679244e-05,0.05001986,4.676969e-08,1.622678e-07
1.000007,0.05001991,0.0006338404,3.080791e-05
1.999966,0.05002347,0.001315008,0.0003888194
3.000047,0.05001529,0.002027487,0.00169741
4.000074,0.0500196,0.002760011,0.004484572
5.000136,0.05001967,0.003507606,0.008876325
6.0002,0.05002747,0.00426625,0.01460708
7.000181,0.05001615,0.005033156,0.02122624
8.000247,0.05001609,0.00580665,0.02836252
9.00028,0.05001939,0.006585873,0.03564875
10.00023,0.05001922,0.007368952,0.04279537
11.00027,0.05002002,0.008155345,0.04954391
11.99996,0.05002198,0.008944671,0.05572329
12.99998,0.05002428,0.00973562,0.06128757
13.99985,0.05002454,0.01052965,0.06615962
14.99995,0.05002509,0.01132391,0.07042331
15.99997,0.05002598,0.01211957,0.07407469
16.99996,0.05002629,0.01291481,0.07723555
17.99996,0.05003046,0.01371389,0.07992802
19.00013,0.05002853,0.01451381,0.08225851
20.00014,0.05003065,0.01532184,0.08422759
21.00021,0.05002721,0.0161234,0.08593613
22.00493,0.05002432,0.01671988,0.08741079
23.01086,0.05002749,0.0175063,0.08867511
24.01644,0.05003029,0.01829575,0.08977634
25.00493,0.0500305,0.0190826,0.09070778
26.01484,0.05002901,0.01986871,0.09150777
27.02112,0.05002731,0.02064578,0.09221517
27.51646,0.05002679,0.02099961,0.09246831
27.5182,0.05002915,0.02099954,0.09237009
27.54274,0.0500299,0.02099954,0.09225889
