v,i,output
-1.000121,2.425752e-09,0.0409269417
-0.9501199,-3.360782e-09,0.040907843
-0.9001305,2.447347e-09,0.040928195
-0.8501154,-2.386588e-09,0.0409583351
-0.8001201,3.239944e-10,0.040944966
-0.7501286,1.910606e-09,0.0409882961
-0.7001188,-1.71579e-09,0.0409755239
-0.650123,1.900353e-09,0.0409469953
-0.6001241,1.445085e-09,0.0409148856
-0.5501477,-1.038702e-09,0.0409156615
-0.5001487,3.577826e-10,0.0409082608
-0.4501336,-1.383727e-09,0.0408763899
-0.4001347,2.195308e-09,0.0408864764
-0.3501436,3.340377e-09,0.0408501292
-0.3001327,-3.586263e-09,0.0408398637
-0.2501213,3.461625e-09,0.0408418929
-0.2001022,3.415749e-09,0.0408364021
-0.1501103,3.5028e-09,0.0408371779
-0.100106,3.572269e-09,0.0408421913
-0.05011126,-1.320504e-09,0.0408562169
-0.0001159262,-2.601172e-09,0.0408121706
0.05001814,2.683632e-09,0.0408033972
0.1000141,-2.035983e-09,0.0408036359
0.1500263,-4.942564e-10,0.0408235105
0.2000044,2.966958e-09,0.0408304934
0.2499829,-9.80256e-10,0.0408276883
0.3000318,3.185152e-09,0.0408356859
0.3500401,-1.356276e-09,0.0408369392
0.4000322,-1.730105e-09,0.0408502486
0.4500186,2.188116e-09,0.0408631402
0.5000245,-2.439952e-09,0.0408315677
0.550018,1.703061e-10,0.0408387894
0.600013,1.660592e-09,0.0408232717
0.6500187,6.262874e-09,0.0408263753
0.7,8.20156e-09,0.0408346712
0.7500195,1.153593e-08,0.0408674971
0.7999975,4.076019e-08,0.0408627224
0.8500066,1.030765e-07,0.0408502486
0.900021,2.881691e-07,0.0408575896
0.9500258,7.93921e-07,0.04086129
1.000006,2.198002e-06,0.0408857602
1.050051,6.12701e-06,0.0409111853
1.100034,1.737983e-05,0.0408302547
1.150043,5.129442e-05,0.0406202291
1.200033,0.0001639952,0.0386105723
1.250023,0.0005775955,7.56785079e-05
1.300012,0.002098284,5.74750952e-05
