v,i,output
-1.000115,-3.610612e-09,-3.98859586e-05
-0.9501238,2.253259e-09,-0.000159916957
-0.9001132,2.909332e-09,-0.000147119123
-0.8501074,-2.066205e-09,-0.000177751839
-0.8001078,-1.951333e-09,-0.000165849481
-0.7501202,9.394032e-10,-0.000169095578
-0.7001135,-2.036148e-09,-0.000175550463
-0.6501128,1.003202e-09,-0.00013842555
-0.6001142,-2.814727e-09,-0.000170998463
-0.5501435,2.375056e-09,-0.000162640694
-0.5001322,-2.572962e-09,-0.000158312564
-0.450137,-3.318585e-09,-0.000167304628
-0.4001308,-8.667897e-10,-0.000132642272
-0.3501377,-1.82697e-09,-0.000176595184
-0.30012,-1.201563e-09,-0.00018513951
-0.250112,8.187352e-10,-0.00015924535
-0.2001001,1.342936e-09,-0.000178311511
-0.1501012,3.292531e-09,-0.000166819579
-0.1001064,-2.390001e-09,-0.000155588826
-0.05012,-3.058183e-10,-0.000175289282
-9.340356e-05,-4.160235e-11,-0.000135403321
0.05002464,-1.49202e-09,-0.000249874911
0.1000216,1.10983e-09,-0.000232637012
0.150015,2.733907e-09,-0.000181520298
0.2000205,-2.578803e-09,-0.000200586459
0.2499989,5.156219e-10,-0.000188796035
0.3000292,2.81773e-09,-5.5967202e-05
0.3500452,-1.580342e-09,-0.000291253331
0.4000248,3.826532e-09,-0.000135552567
0.4500216,2.98942e-10,-0.000219577997
0.5000395,2.279124e-09,-0.000182453085
0.5500289,6.115444e-10,-0.000222712161
0.6000214,-8.60983e-10,-0.000192266001
0.6500259,1.860391e-09,-0.000149096631
0.7000331,9.206644e-09,-0.000223271833
0.750025,1.388576e-08,-0.000107568965
0.8000169,4.00775e-08,-0.000210884425
0.8500202,9.849986e-08,-0.000180774069
0.9000316,2.696577e-07,-0.000240024683
0.950047,7.494588e-07,-0.000332594439
1.000012,2.093473e-06,7.97719251e-05
1.050057,5.859362e-06,-0.000401881838
1.100053,1.669342e-05,-0.00111199373
1.150053,4.94373e-05,-0.00844727945
1.200034,0.0001587758,-0.0572966124
1.25004,0.0005626859,-5.96983253e-06
1.300028,0.002067057,-5.96983253e-06
