vd,vg,id,ig
1.024922e-05,2.999971,3.47085e-08,2.133551e-10
5.000216,3.000004,0.001518135,-1.573363e-11
10.00091,2.999941,0.001551922,-1.69657e-12
15.00085,2.999991,0.001565107,1.292536e-11
19.99988,2.999974,0.001571712,5.771703e-12
25.00128,2.999943,0.001577654,-3.013042e-11
30.01631,2.999933,0.001583286,-2.734091e-11
35.0097,3.000009,0.001588923,-1.264162e-10
40.00779,2.999999,0.001594668,-1.771316e-11
45.0214,3.000012,0.001600406,-2.045748e-11
50.0188,2.999999,0.001606065,-5.90595e-11
55.014,2.999986,0.001611753,-6.679857e-11
60.01097,2.999968,0.0016177,8.351458e-11
65.02481,2.999982,0.001623938,-1.560223e-10
70.02227,3.00001,0.001630145,-1.835593e-10
75.0201,2.999983,0.001636506,-8.497628e-11
80.03215,2.999979,0.001642787,-1.085984e-10
85.02399,3.000024,0.001649407,-1.070684e-10
90.02028,2.99998,0.001656105,-3.6249e-11
95.01289,2.999988,0.001662955,-4.272757e-11
100.0251,2.999964,0.001669964,-1.323556e-10
