v,i,output,time
1.499996,0.03596978,-5.61164479e-05,0.0
1.499992,0.03613312,-5.59298906e-05,0.5
1.499992,0.03623457,-5.56313988e-05,1.0
1.499998,0.03632019,-5.51836612e-05,1.5
1.500004,0.0363711,-5.44747433e-05,2.0
1.499995,0.03640069,-5.38404483e-05,2.5
1.499994,0.03641626,-5.34673336e-05,3.0
1.499997,0.03647027,-5.26091698e-05,3.5
1.500007,0.03652411,-5.14152027e-05,4.0
1.500003,0.03655241,-5.07809077e-05,4.5
1.49999,0.0365963,-4.97734981e-05,5.0
1.499994,0.03664035,-4.91765145e-05,5.5
1.499997,0.03666409,-4.82810393e-05,6.0
1.499987,0.03638287,-4.74228755e-05,6.5
1.500003,0.03641523,-4.64527773e-05,7.0
1.499991,0.03644091,-4.6191597e-05,7.5
1.499993,0.03645042,-4.53334332e-05,8.0
1.500013,0.0364657,-4.45872038e-05,8.5
1.49999,0.0364824,-4.40275317e-05,9.0
1.500007,0.03649899,-4.32066794e-05,9.5
