vg,vd,ig,id
-5.001324,100.0228,-6.007013e-10,2.517059e-09
-4.501231,100.0235,-2.104208e-10,1.671538e-09
-4.001115,100.0229,-3.921543e-10,1.262135e-09
-3.501166,100.0226,-1.146275e-10,1.195398e-09
-3.001015,100.0237,-6.823835e-11,1.177546e-09
-2.500907,100.0237,-2.984742e-10,1.085718e-09
-2.000041,100.0232,-3.240754e-10,1.126911e-09
-1.500095,100.0238,-1.993963e-10,1.213973e-09
-1.000106,100.0224,-2.562695e-10,1.063594e-09
-0.500136,100.0242,-1.993069e-10,9.536869e-10
-0.0001068459,100.0232,-2.915453e-10,8.878518e-10
