v,i,output
-1.000127,-3.383503e-09,-0.000497287267
-0.9801338,1.619488e-09,7.68616542e-06
-0.9601328,2.736365e-09,-0.000156484302
-0.9401369,3.055183e-09,-0.000167379251
-0.920108,1.090312e-09,0.000390389911
-0.900131,-6.882673e-10,-0.00457912475
-0.8801407,7.411229e-11,-0.000588364565
-0.8601459,8.950529e-10,-0.00185262641
-0.8401412,-4.156471e-09,-0.000960844967
-0.8201558,3.485079e-10,-0.000642354261
-0.8001333,-2.020703e-09,-0.000497511136
-0.7801537,-2.589748e-09,-0.000380427743
-0.7601461,3.195645e-11,-0.000294499428
-0.7401506,-4.078494e-09,-0.000271851366
-0.7201443,9.624935e-10,-0.000258717729
-0.7001273,-2.695349e-09,-0.000213421605
-0.6801313,1.493382e-09,-0.000227338783
-0.6601477,-1.697688e-09,-0.000178124954
-0.6401505,-2.287393e-09,-0.000192340624
-0.6201631,1.424231e-09,-0.000191146657
-0.6001218,-3.932927e-09,-0.000180997937
-0.5801215,-4.104004e-09,-0.000176557872
-0.5601234,-3.65996e-09,-0.000166894202
-0.5401317,-4.027604e-09,-0.000188124428
-0.520158,2.131435e-09,-0.000180139774
-0.5001493,-3.033352e-09,-0.000589334663
-0.4801226,3.402725e-09,9.17862183e-05
-0.4601167,9.719445e-10,0.00115825996
-0.4401288,-3.850913e-09,-0.000498817037
-0.4201371,-2.315772e-09,-0.000330057259
-0.4001552,-2.442392e-09,-0.000288716151
-0.3801096,-2.686984e-09,-0.000289910118
-0.3601348,-3.663729e-09,0.000638511185
-0.3401338,-3.860851e-09,-0.00335542048
-0.3201411,-2.03942e-10,0.000111710543
-0.3001419,2.361203e-09,-0.000264463695
-0.2801416,8.892913e-10,-0.000430686293
-0.2601076,-1.703263e-09,0.000240658983
-0.2401273,2.587507e-09,-0.00049202635
-0.2201393,1.919178e-09,-7.26081176e-05
-0.2001086,-2.709155e-09,7.42125161e-05
-0.1801107,3.506482e-09,-0.000125814273
-0.1601101,1.034838e-09,-0.000187788625
-0.1401218,-2.61103e-09,-0.000200138721
-0.1201239,-2.876594e-09,-0.00020543695
-0.1001239,-1.965848e-09,-0.000163349612
-0.08013128,8.282421e-10,-0.000201966983
-0.06012782,-3.61586e-09,-0.000219055637
-0.04012363,-3.591451e-09,-0.000418597377
-0.02012922,-5.417198e-10,-0.000145477418
-0.0001112495,2.459283e-09,-0.000161148235
0.02000009,-3.141802e-10,-0.000245733337
0.04000123,5.71513e-11,-0.000217675112
0.06001424,1.275161e-10,-0.000225659767
0.08001088,3.871427e-09,-0.000206071245
0.1000139,-7.725871e-10,-0.000389270562
0.120019,3.62746e-09,-0.000173722201
0.1400066,-9.115737e-10,-0.000750632147
0.1599991,-2.05248e-10,-0.000214093211
0.1800127,-1.954418e-09,-0.000259725139
0.2000106,3.930688e-09,-0.000249837599
0.2200172,-1.126608e-09,-0.00016532712
0.2400093,1.05666e-09,-0.000274015432
0.2599919,-3.546835e-09,-0.00025823268
0.2800004,-8.740637e-11,-0.000248569009
0.3000265,-3.571843e-09,-0.000238756093
0.3200011,-6.076938e-11,-0.00023868147
0.3400128,-3.506558e-09,-0.000240061994
0.3599957,-2.304309e-09,-0.000253009074
0.3800003,-2.930134e-09,-0.000231853471
0.4000123,3.079345e-09,-0.000223756882
0.4200111,2.390217e-09,-8.60402467e-05
0.4400149,2.720996e-09,-0.000173572955
0.4600005,-9.533785e-10,-0.000300058837
0.4800216,3.272313e-09,-0.000251553927
0.5000169,4.439164e-09,-0.000254725402
0.5199983,3.039269e-09,-0.000243196157
0.5400124,3.198869e-09,-0.000243196157
0.5599868,-2.262314e-09,-0.000240285863
0.580034,-7.719249e-11,-0.000248046649
0.6000032,-1.109823e-09,-0.000226480619
0.6200072,1.642933e-09,-0.000247263108
0.6399862,3.22569e-09,-0.000258531172
0.6600341,9.19617e-10,-0.000266478515
0.680013,4.853775e-09,-0.000252785205
0.6999983,9.389589e-09,-0.000250210714
0.7199848,1.183151e-08,-0.000255508942
0.7400054,1.042368e-08,-0.00026076986
0.7600152,1.635138e-08,-0.000228196947
0.7800014,2.341316e-08,-0.000253232943
0.7999883,4.179813e-08,-0.000244987108
0.8199745,5.759469e-08,-0.000248457075
0.8400137,8.882468e-08,-0.000250471894
0.8600225,1.321152e-07,-0.000251927041
0.8799998,1.965553e-07,-0.000272560284
0.8999885,2.915948e-07,-0.000273381137
0.92005,4.349098e-07,-0.000297782838
0.9400311,6.521672e-07,-0.000316998245
0.960027,9.742214e-07,-0.00035774237
0.9799931,1.47028e-06,6.03699608e-05
0.9999769,2.204879e-06,-0.00015924535
1.02001,3.315654e-06,-0.000253792615
1.040014,4.992708e-06,-0.000458819141
1.060011,7.544642e-06,-0.000591013679
1.079978,1.146738e-05,-0.000549523324
1.100014,1.746245e-05,-0.00139130739
1.120006,2.673157e-05,-0.0028489919
1.140008,4.133533e-05,-0.00615620596
1.160012,6.467228e-05,-0.0139332595
1.18004,0.0001028177,-0.0323437834
1.199998,0.0001661794,-0.0548968132
