vg,vd,ig,id
-5.00127,100.0251,-1.336152e-10,8.994981e-10
-4.501169,100.0259,-1.055966e-11,4.377055e-10
-4.001074,100.0241,-2.355278e-10,6.858036e-10
-3.501054,100.0242,-5.205943e-12,7.30683e-10
-3.000986,100.0251,-8.40036e-12,8.731461e-10
-2.500893,100.0245,1.526427e-11,9.591729e-10
-2.000039,100.0252,-1.459435e-10,5.62046e-10
-1.500088,100.0249,-4.493208e-11,9.863363e-10
-1.000099,100.0247,-1.11208e-10,5.685218e-10
-0.5001361,100.0247,-1.180471e-10,6.000014e-10
-0.0001018019,100.0252,-1.891833e-10,6.057567e-10
0.5000212,100.0245,-3.318973e-11,7.147183e-10
0.999982,100.0241,-1.740202e-10,2.114646e-08
1.499972,100.0269,2.69818e-10,2.201015e-06
1.999974,100.029,2.960022e-10,4.934516e-05
2.49997,100.028,1.536536e-10,0.0004062652
3.000021,100.023,8.198474e-11,0.001913245
3.50008,100.0267,-3.628173e-10,0.006661792
3.999998,100.0337,-1.090032e-10,0.01931316
4.500047,0.6000266,3.712965e-11,0.02100002
5.000102,0.2649141,-4.304255e-11,0.02100004
