v,i,output
-1.000105,1.476932e-09,-0.000401881838
-0.9501128,-4.283982e-09,5.86536332e-05
-0.9001017,1.336504e-09,0.000192900301
-0.850102,5.076778e-10,-0.000677576289
-0.8000961,-3.268091e-09,-0.000493779989
-0.7500976,2.939124e-09,-0.000409306821
-0.7000875,-1.89434e-09,-0.000739513329
-0.6501015,-1.577647e-09,0.000388487026
-0.6000803,-1.144362e-09,-0.000925249825
-0.5501131,-1.431672e-09,5.02958639e-05
-0.5001156,2.074433e-09,0.000247561605
-0.4501113,-1.653154e-09,-8.32418865e-05
-0.4001104,-2.64945e-09,-0.000242561862
-0.3501004,3.298796e-09,-0.000245136354
-0.3001028,-3.629668e-09,-0.000361622763
-0.2500955,-1.5933e-09,0.000171670075
-0.2000725,2.278388e-09,-0.000128948437
-0.1500761,-8.574977e-10,-0.000186781215
-0.1000842,2.347632e-09,-0.000233495175
-0.05008354,2.382729e-09,-0.000210063572
-6.34843e-05,2.634726e-09,-0.000196929935
0.05003976,-1.25024e-09,-0.000204951901
0.1000456,-1.607567e-09,-0.00018894528
0.1500375,2.329103e-09,-0.000316065458
0.2000415,2.407784e-09,-8.91744102e-05
0.2500277,2.9756e-09,-0.000164506268
0.3000686,2.697504e-09,-0.000195138984
0.3500673,6.129622e-10,-0.000150402532
0.4000624,1.534697e-09,-0.000227488029
0.4500436,-1.260719e-09,-0.000152268106
0.5000768,2.551356e-09,-0.000162342202
0.5500496,1.979853e-09,-0.00014170896
0.6000584,-5.656444e-10,-0.000159357285
0.6500618,1.275127e-09,-0.000158387187
0.7000697,9.084831e-09,0.000203160956
0.7500709,1.331805e-08,-0.000597356629
0.8000391,3.967964e-08,-0.000212227638
0.8500577,9.874285e-08,-0.000181371052
0.9000691,2.589696e-07,-0.000209168097
0.9500761,7.226854e-07,-0.000336064406
1.00004,2.004902e-06,0.000198870137
1.050098,5.618706e-06,0.00129041719
1.100071,1.607259e-05,-0.000958195853
1.150092,4.784849e-05,-0.00814061648
1.200072,0.0001545502,-0.0579690397
