vd,vg,id,ig
2.069511e-05,2.999989,3.465507e-08,2.239279e-10
5.000215,2.999945,0.001504079,1.422265e-10
10.00097,2.999979,0.001538859,1.281444e-10
15.00082,2.999964,0.001552742,-9.334532e-11
19.99992,2.999983,0.00155978,1.500555e-10
25.00208,2.999973,0.001566226,-8.943075e-11
30.01754,2.999976,0.001572353,-1.546353e-11
35.01138,2.999997,0.001578148,-1.20522e-10
40.00788,3.000008,0.001584194,-1.296109e-10
45.02035,2.999935,0.001590154,1.081688e-10
50.01943,2.999985,0.001596098,-1.415791e-10
55.01369,2.999971,0.001602316,-1.250213e-10
60.00967,3.0,0.001608504,-2.189718e-11
65.02467,2.999921,0.001614885,-1.49003e-10
70.02377,2.999998,0.001621051,-2.1474e-10
75.01872,2.999975,0.001627484,-1.129179e-10
80.03146,2.999983,0.001634144,-1.201619e-10
85.02695,2.999945,0.001640769,-1.22052e-10
90.01978,2.99991,0.001647545,-7.426756e-11
95.01381,2.999992,0.001654521,-1.114782e-10
100.0252,2.999964,0.00166149,-1.047739e-10
105.0188,2.999937,0.001668799,-1.245262e-10
110.012,2.999975,0.001676043,-1.252913e-10
115.023,2.999954,0.001683574,-1.482386e-10
120.0158,2.999985,0.001691286,-1.677664e-10
125.0095,2.999945,0.001699125,-1.207472e-10
130.0018,2.999984,0.001707123,-3.285762e-10
135.0143,2.999969,0.001715349,-2.057422e-10
140.0075,2.999952,0.001723801,-2.043911e-10
145.0013,2.999963,0.001732189,-1.237616e-10
150.0125,2.999974,0.001740785,-8.412138e-11
155.0084,2.99995,0.001749305,-4.589697e-10
160.008,2.99994,0.001758352,-1.12063e-10
165.0061,2.999974,0.001767511,-3.373955e-10
170.0188,2.999993,0.001776833,-2.919061e-10
175.0148,3.000011,0.001786303,-1.801846e-10
180.0107,2.999998,0.001796186,-1.579575e-10
185.0258,3.000016,0.00180607,-4.459664e-10
190.0174,2.999973,0.001815817,-1.772602e-10
195.0139,2.999973,0.001826469,-1.931882e-10
200.0102,2.999919,0.001836851,-4.185648e-10
