v,i,output
-1.000119,-6.623816e-10,-0.000183982855
-0.9501152,1.549382e-09,0.000757049725
-0.9001171,-2.803103e-10,1.58946888e-05
-0.8501121,1.759544e-09,-0.000213682785
-0.8001206,-1.70789e-09,-3.85800571e-05
-0.7501137,-2.729493e-09,-0.000156820105
-0.7001116,-1.93895e-09,0.000333191428
-0.6501257,6.029605e-10,-0.00017167007
-0.6000991,-1.088185e-09,-8.37269356e-05
-0.5501283,-1.363796e-09,-0.000154544105
-0.5001338,2.407385e-09,-9.51442216e-06
-0.4501437,-1.902988e-09,-2.77597309e-05
-0.4001276,1.982533e-10,-0.000356548403
-0.3501333,2.707458e-09,-8.95102134e-05
-0.3001298,1.489229e-09,-0.000297745526
-0.2501225,-3.687344e-09,-0.000554149947
-0.2000944,1.142651e-09,-7.18618882e-05
-0.1500971,1.153983e-09,-7.46229369e-05
-0.1001061,1.959444e-09,-0.000152715843
-0.05009889,-2.047303e-09,-6.0332644e-05
-9.366398e-05,1.194663e-09,-0.000105106408
0.0500311,1.977262e-09,-8.5032837e-05
0.1000316,3.780153e-09,-2.55210427e-05
0.1500276,-1.602456e-09,-0.000122568176
0.2000181,2.785014e-09,-0.000117046078
0.2500185,-2.468245e-09,-7.7010871e-05
0.3000444,-1.996134e-09,-0.000103987064
0.350049,2.016537e-09,4.29455044e-05
0.4000425,3.551107e-09,-0.000150887581
0.450049,7.365016e-10,-6.0407267e-05
0.5000594,2.968395e-09,-0.000113053751
0.5500325,2.389344e-09,-0.000105069096
0.6000356,9.458516e-10,-7.23469373e-05
0.6500393,6.4532e-09,-0.00012547847
0.7000403,8.629549e-09,-0.000186034986
0.7500414,1.308229e-08,-0.000127008241
0.8000258,3.718993e-08,-8.55178861e-05
0.8500298,9.530612e-08,-0.000139918009
0.9000441,2.66855e-07,-0.000147454926
0.9500505,7.251475e-07,-0.000253232943
1.000023,2.022004e-06,7.95853677e-05
1.050069,5.692414e-06,-0.000279910644
1.100058,1.625156e-05,-0.000972411523
1.150062,4.832474e-05,-0.00818792742
1.200052,0.0001559708,-0.0578163611
1.250049,0.0005546725,-6.30563576e-06
1.272367,0.0009999811,-6.15638988e-06
