v,i,output,time
1.100015,2.166721e-05,-0.00161864618,0.0
1.100022,2.165804e-05,-0.00169830617,0.5
1.100028,2.163369e-05,-0.00169964938,1.0
1.100019,2.159923e-05,-0.00173308046,1.5
1.100019,2.157774e-05,-0.00172293174,2.0
1.100025,2.154175e-05,-0.00173248347,2.5
1.10003,2.153629e-05,-0.00171767082,3.0
1.100037,2.148464e-05,-0.00173240885,3.5
1.100028,2.146632e-05,-0.00173703547,4.0
1.100024,2.142585e-05,-0.00171871554,4.5
1.100028,2.140616e-05,-0.00172793147,5.0
1.100028,2.138456e-05,-0.0017267002,5.5
1.100025,2.13626e-05,-0.00172707331,6.0
1.100015,2.132997e-05,-0.00171606643,6.5
1.100024,2.131826e-05,-0.00173890105,7.0
1.100034,2.129652e-05,-0.0017459156,7.5
1.100018,2.127088e-05,-0.00173539377,8.0
1.100023,2.125684e-05,-0.00174113974,8.5
1.100026,2.12391e-05,-0.00175039298,9.0
1.10002,2.122098e-05,-0.00175610163,9.5
