vg,vd,ig,id
-5.00131,40.00675,-4.667983e-10,1.080998e-09
-4.00111,40.00369,-2.318829e-10,8.375292e-10
-3.000974,40.00711,-1.583172e-10,4.435065e-10
-2.000046,40.00512,-1.566972e-10,8.037133e-10
-1.000103,40.00502,-2.91275e-10,5.798551e-10
-0.0001005405,40.00627,-9.65848e-11,3.479462e-10
0.9999752,40.00478,-1.11388e-10,2.017434e-08
1.999988,40.01051,7.955515e-11,4.99835e-05
2.999993,40.00701,1.305291e-10,0.001912801
4.000007,40.01363,-5.019596e-11,0.01803628
5.000057,0.2583257,1.098337e-10,0.02099999
6.000084,0.1064974,9.917062e-11,0.02100001
7.000066,0.06280629,-1.207019e-10,0.02100004
8.000112,0.04640988,-6.769837e-11,0.02100003
9.00012,0.03551172,-8.529117e-11,0.02100003
10.00009,0.03075638,9.269228e-11,0.021
11.00017,0.0285273,1.604027e-10,0.02099997
11.99973,0.02689256,1.842913e-10,0.02100003
12.99973,0.02362314,3.35304e-11,0.02100001
13.99965,0.02570379,1.126681e-10,0.021
14.99973,0.02387086,-3.103016e-11,0.02100004
15.99965,0.02228564,-3.6654e-11,0.02100003
16.99971,0.02283061,2.281114e-10,0.02100004
17.99981,0.0217408,1.43306e-10,0.02100004
18.99977,0.02144358,1.115878e-10,0.02100001
19.99981,0.02070048,1.401564e-10,0.02100001
