v,i,output,time
1.299993,0.00240159,-1.36559953e-05,0.0
1.300011,0.002396014,-1.32082577e-05,0.5
1.300013,0.00238916,-1.32082577e-05,1.0
1.300009,0.002383334,-1.30590118e-05,1.5
1.300015,0.002376774,-1.28724544e-05,2.0
1.300024,0.002373194,-1.29470774e-05,2.5
1.3,0.002367622,-1.26858971e-05,3.0
1.300022,0.002363974,-1.2835143e-05,3.5
1.300008,0.002359963,-1.23874053e-05,4.0
1.300011,0.002355796,-1.24993397e-05,4.5
1.300012,0.002352868,-1.23874053e-05,5.0
1.300023,0.002349888,-1.23500939e-05,5.5
1.300018,0.00234627,-1.2126225e-05,6.0
1.300011,0.002343884,-1.2200848e-05,6.5
1.300016,0.002342453,-1.18650448e-05,7.0
1.300016,0.002339015,-1.19023562e-05,7.5
1.300015,0.002336664,-1.20516021e-05,8.0
1.299997,0.002334315,-1.20516021e-05,8.5
1.300007,0.002332343,-1.18650448e-05,9.0
1.300022,0.002328704,-1.16038645e-05,9.5
