v,i,output
-1.000125,-4.040775e-09,0.0401329148
-0.9001271,-1.164501e-09,0.0401176358
-0.8001366,1.842295e-09,0.0400892863
-0.7001325,-3.273376e-09,0.0401203216
-0.6001146,3.878776e-10,0.0401213362
-0.5001587,-9.261612e-10,0.0401243801
-0.4001392,3.347414e-09,0.0401420463
-0.3001372,-2.294288e-09,0.0401374507
-0.2001113,-1.900891e-09,0.0401249172
-0.1001299,-1.996104e-09,0.0401407333
-0.0001210626,-2.456225e-09,0.0401477759
0.1000142,-3.005781e-09,0.0401323776
0.2000155,9.023026e-10,0.040178095
0.3000312,-2.824104e-09,0.0401606078
0.4000126,-1.847883e-09,0.0401966566
0.5000167,1.820204e-09,0.0401942095
0.5999988,-9.150912e-10,0.0401705153
0.699999,2.967607e-09,0.0401984471
0.800011,4.164328e-08,0.040199581
0.9000088,3.048306e-07,0.0402438661
0.9999971,2.29659e-06,0.0402331231
1.10003,1.798127e-05,0.0401640695
1.200015,0.0001680437,0.0378491922
1.300003,0.002130603,5.59830122e-05
1.400022,0.01382148,5.56249123e-05
1.500003,0.03601494,5.56249123e-05
