v,i,output,time
1.200035,0.0002169957,-0.0193804729,0.0
1.200027,0.0002144701,-0.0215441277,0.5
1.200022,0.0002123124,-0.0235101064,1.0
1.200021,0.0002101517,-0.0252060992,1.5
1.200026,0.0002082209,-0.0266244201,2.0
1.200038,0.0002066386,-0.0278573776,2.5
1.200029,0.0002051673,-0.0292968541,3.0
1.200017,0.0002036564,-0.0300900214,3.5
1.200033,0.0002024843,-0.0306223441,4.0
1.200033,0.0002012529,-0.0314685309,4.5
1.200021,0.000200212,-0.0320853641,5.0
1.200023,0.0001991729,-0.0331024002,5.5
1.200023,0.0001981998,-0.0338650839,6.0
1.200011,0.0001972868,-0.0305858535,6.5
1.200015,0.0001965674,-0.0311465703,7.0
1.200025,0.0001957784,0.0188310242,7.5
1.200034,0.0001951641,0.0264336839,8.0
1.200026,0.0001945902,-0.000854880393,8.5
1.200039,0.0001937707,-0.0218589246,9.0
1.200025,0.0001931733,-0.0284630547,9.5
