v,i,output
-1.000116,-5.642732e-10,0.0407678856
-0.9501235,-4.205606e-09,0.0408247638
-0.9001312,-2.727087e-09,0.0408109173
-0.8501213,7.070111e-10,0.0407792851
-0.8001229,2.826646e-09,0.0407808369
-0.7501237,1.628168e-09,0.0408138418
-0.7001197,-1.558858e-09,0.0408081122
-0.6501229,-2.556692e-09,0.0407755848
-0.6001172,1.686607e-09,0.0407768381
-0.5501409,-3.282644e-09,0.0407511743
-0.5001527,2.117349e-09,0.0407104703
-0.4501436,-3.104506e-09,0.0407295092
-0.4001262,2.017019e-09,0.040725212
-0.3501429,1.761523e-09,0.0406870147
-0.3001315,7.259959e-10,0.040716737
-0.2501296,2.239907e-09,0.0407190647
-0.2001046,2.320801e-09,0.040680748
-0.1501124,7.294117e-10,0.0407065312
-0.1001179,-2.3534e-09,0.0406972802
-0.05011612,-7.862849e-10,0.0406843886
-0.0001106074,3.570548e-09,0.040689402
0.05001398,1.464212e-09,0.0407017565
0.1000158,-2.864629e-09,0.0406889843
0.1500082,1.453145e-09,0.0407029502
0.2000202,-1.361466e-09,0.040708262
0.2499942,-1.312595e-09,0.0407426993
0.3000316,2.330655e-09,0.0407220488
0.3500296,-2.012689e-09,0.0407384021
0.4000114,2.449805e-09,0.0407644837
0.4500327,-1.968545e-09,0.0407796432
0.5000367,3.229184e-09,0.0407993387
0.550034,-2.39744e-09,0.0407861487
0.6000151,2.183398e-09,0.0408009502
0.6500279,2.872042e-09,0.0408072169
0.7000198,6.17655e-09,0.0407928332
0.7500213,1.582892e-08,0.0408059039
0.7999953,4.057356e-08,0.0407845373
0.8500211,1.059209e-07,0.040777614
0.9000118,2.862139e-07,0.0407691986
0.9500127,7.853167e-07,0.0407654386
1.000005,2.172088e-06,0.0407499209
1.050044,6.060581e-06,0.0407587541
1.100028,1.723151e-05,0.0407268832
1.150054,5.084602e-05,0.0404663655
1.200032,0.0001627829,0.0384879231
1.250022,0.0005740973,0.000101640752
1.300005,0.002090784,5.86090783e-05
