vg,vd,ig,id
1.553213e-05,0.0500218,3.890434e-08,1.624502e-07
3.000004,0.05001262,0.001898302,0.001788306
6.000152,0.05002733,0.004042404,0.01605654
9.000262,0.05002188,0.006276152,0.0410745
11.99997,0.05002451,0.00855783,0.06216035
15.00001,0.0500253,0.01086975,0.07546896
18.00001,0.05002971,0.01319993,0.08350036
21.00019,0.05002956,0.01554699,0.08848033
24.01638,0.05002919,0.01796513,0.09168333
27.02168,0.05003031,0.0202968,0.09380725
27.62794,0.05003189,0.0209996,0.09438605
28.33272,0.05002772,0.0209953,0.09420371
