v,i,output
-1.000116,1.192052e-09,0.0408198698
-0.9001206,-2.96679e-09,0.0408048296
-0.800125,1.605792e-09,0.0408081122
-0.7001163,-9.505083e-10,0.0407982047
-0.6001078,-3.534597e-09,0.0408068588
-0.500149,4.617571e-10,0.0407976079
-0.4001459,2.772928e-10,0.0408214216
-0.3001333,6.133311e-10,0.0408220184
-0.2000994,1.832179e-09,0.0408208844
-0.1001193,-3.373241e-09,0.0408161097
-0.0001139454,1.557828e-09,0.0408095446
0.100019,2.951333e-09,0.0408067991
0.1999981,-2.930576e-09,0.0408435641
0.3000226,-4.107892e-10,0.0408584849
0.4000239,-1.632998e-09,0.0408402218
0.5000155,-2.005065e-09,0.0408137821
0.6000229,7.020993e-10,0.040849413
0.7000239,9.918343e-09,0.0408663034
0.7999998,4.012635e-08,0.0408649904
0.900009,2.859205e-07,0.0408821195
0.9999992,2.207351e-06,0.0409113643
1.100015,1.749556e-05,0.040881642
1.200017,0.0001648651,0.0385605577
1.30001,0.002103412,6.02205279e-05
1.400015,0.01372147,5.67588953e-05
1.500003,0.03573329,5.61620621e-05
