vg,vd,ig,id
1.670042e-05,0.05001706,3.296458e-08,9.06665e-08
0.9999981,0.05001261,0.0005316602,2.112387e-05
1.999983,0.05001804,0.001124519,0.0003334265
2.999996,0.05001706,0.001759523,0.001570403
4.000028,0.05001309,0.002422567,0.00429598
5.000136,0.05001846,0.003105651,0.008732098
6.000122,0.05002376,0.003804457,0.01481627
7.000191,0.05001281,0.004514534,0.02221286
8.000278,0.05001955,0.005235724,0.03042427
9.00022,0.05001715,0.005965509,0.03877479
10.00018,0.05002126,0.006701982,0.04670194
11.00024,0.05002142,0.007447011,0.05389769
11.99986,0.05002476,0.008195938,0.0602052
12.99994,0.05002363,0.008951603,0.06562655
13.99984,0.05002635,0.009711098,0.07026105
14.99987,0.05002644,0.01047299,0.0741806
15.99997,0.05002466,0.01124071,0.07749689
16.99994,0.05002716,0.01201237,0.08028331
17.99999,0.05002636,0.01278914,0.08267351
19.00009,0.05002744,0.01356541,0.08470341
19.99996,0.05002511,0.01434949,0.08642931
21.00006,0.05002582,0.01513558,0.08792135
22.00461,0.0500261,0.01619213,0.08921023
23.01116,0.05002753,0.01697579,0.09031653
24.01802,0.0500301,0.01776892,0.09129672
25.00719,0.05002613,0.01858131,0.09210335
26.01228,0.05003145,0.01936177,0.09284814
27.02117,0.05002538,0.01977238,0.09345882
28.00842,0.05002804,0.02063449,0.09395736
28.06642,0.05002863,0.02099949,0.09398332
28.07168,0.05002744,0.0209996,0.09400149
28.5822,0.05002725,0.02099964,0.09403757
28.52094,0.05002725,0.02099957,0.09391452
28.42646,0.05002711,0.02099959,0.09368604
