v,i,output,time
1.499997,0.03547407,-1.63424211e-05,0.0
1.499991,0.03567746,-1.60439294e-05,0.5
1.499999,0.03581722,-1.60439294e-05,1.0
1.499997,0.03592449,-1.62677982e-05,1.5
1.50001,0.03601528,-1.59693064e-05,2.0
1.50001,0.03610311,-1.63797326e-05,2.5
1.499998,0.03618214,-1.62677982e-05,3.0
1.499988,0.0362625,-1.62304867e-05,3.5
1.499994,0.03632851,-1.62677982e-05,4.0
1.49999,0.03638413,-1.66782244e-05,4.5
1.499997,0.03643942,-1.63797326e-05,5.0
1.499996,0.03649453,-1.62304867e-05,5.5
1.500004,0.03654459,-1.66036014e-05,6.0
1.499992,0.0365931,-1.66782244e-05,6.5
1.499987,0.03663571,-1.69020932e-05,7.0
1.499999,0.03667906,-1.69394046e-05,7.5
1.500001,0.03672475,-1.72005849e-05,8.0
1.49999,0.03677868,-1.70140276e-05,8.5
1.50001,0.0368168,-1.73871423e-05,9.0
1.499992,0.03685592,-1.71632735e-05,9.5
