v,i,output
-1.000119,2.942957e-09,0.0406253022
-0.9501194,-2.028528e-09,0.0406626042
-0.9001301,1.501474e-09,0.040624586
-0.8501256,1.409151e-09,0.0406302559
-0.8001252,-3.81752e-09,0.0406300171
-0.7501176,2.907506e-09,0.0406654094
-0.7001315,1.924352e-09,0.0406693485
-0.6501209,-1.146745e-09,0.0406430878
-0.6001181,-3.663505e-09,0.0406815835
-0.5501363,8.732529e-10,0.0406824788
-0.5001515,2.141339e-09,0.0406888649
-0.4501508,3.398976e-09,0.040705815
-0.4001345,2.880677e-09,0.0407100525
-0.3501246,1.763406e-09,0.0407027114
-0.3001367,-1.980331e-09,0.0407164983
-0.2501415,3.489336e-09,0.0407427589
-0.200096,3.1262e-09,0.0407166176
-0.1501043,-2.026862e-09,0.0407092169
-0.1001142,2.805953e-09,0.0407290318
-0.05011582,-3.254585e-09,0.0407598284
-0.0001174501,-2.097515e-09,0.0407299867
0.05003597,9.503718e-10,0.0407730781
0.1000226,1.021726e-09,0.0407789867
0.1500129,6.93513e-10,0.0407435348
0.2000176,1.0273e-10,0.0407731974
0.2499992,-1.00861e-10,0.0407264057
0.3000421,-6.711832e-10,0.0407079636
0.3500516,2.389011e-09,0.0407243168
0.4000235,-1.631265e-09,0.0407277784
0.450016,-1.263823e-09,0.0407250927
0.500028,-1.091833e-11,0.0407123204
0.5500124,4.621572e-09,0.0407184678
0.6000283,1.627043e-09,0.0407373278
0.6500376,2.434642e-10,0.0407264654
0.700021,9.685635e-09,0.0407654983
0.7500262,1.304247e-08,0.0407597687
0.8000252,3.502262e-08,0.0407328515
0.8500176,9.929124e-08,0.0407478917
0.9000246,2.78912e-07,0.0407938479
0.9500263,7.758417e-07,0.0408085896
1.000013,2.151239e-06,0.0407935494
1.050054,6.010693e-06,0.0408347906
1.100029,1.709442e-05,0.0407125592
1.150061,5.053199e-05,0.0405421633
1.200045,0.0001620018,0.0387104225
1.250042,0.0005723845,0.000798443516
1.300019,0.002086852,5.8549395e-05
